date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:23:15	22154/22154	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20Jan%202019%2022:01:35%20GMT	https://colorlib.com/preview/theme/homespace/property-details.html	C:/Users/Anisha%20Gaywala/Desktop/template/colorlib.com/preview/theme/homespace/property-details.html	(from https://colorlib.com/preview/theme/homespace/)
14:23:28	84326/84326	---M--	200	added ('OK')	image/jpeg	etag:%225c3a641d-1524c%22	https://colorlib.com/preview/theme/homespace/images/img_2.jpg	C:/Users/Anisha%20Gaywala/Desktop/template/colorlib.com/preview/theme/homespace/images/img_2.jpg	(from https://colorlib.com/preview/theme/homespace/)
14:23:30	63746/63746	---M--	200	added ('OK')	image/jpeg	etag:%225c3a641c-10049%22	https://colorlib.com/preview/theme/homespace/images/img_1.jpg	C:/Users/Anisha%20Gaywala/Desktop/template/colorlib.com/preview/theme/homespace/images/img_1.jpg	(from https://colorlib.com/preview/theme/homespace/)
14:23:34	82553/82553	---M--	200	added ('OK')	image/jpeg	etag:%225c3a6422-1474e%22	https://colorlib.com/preview/theme/homespace/images/img_3.jpg	C:/Users/Anisha%20Gaywala/Desktop/template/colorlib.com/preview/theme/homespace/images/img_3.jpg	(from https://colorlib.com/preview/theme/homespace/)
14:23:35	468364/468364	---M--	200	added ('OK')	image/jpeg	etag:%225c3a6415-74af9%22	https://colorlib.com/preview/theme/homespace/images/hero_bg_3.jpg	C:/Users/Anisha%20Gaywala/Desktop/template/colorlib.com/preview/theme/homespace/images/hero_bg_3.jpg	(from https://colorlib.com/preview/theme/homespace/)
14:23:37	49686/49686	---M--	200	added ('OK')	image/jpeg	etag:%225c3a6425-c683%22	https://colorlib.com/preview/theme/homespace/images/img_5.jpg	C:/Users/Anisha%20Gaywala/Desktop/template/colorlib.com/preview/theme/homespace/images/img_5.jpg	(from https://colorlib.com/preview/theme/homespace/)
14:23:40	79133/79133	---M--	200	added ('OK')	image/jpeg	etag:%225c3a6420-13f46%22	https://colorlib.com/preview/theme/homespace/images/img_4.jpg	C:/Users/Anisha%20Gaywala/Desktop/template/colorlib.com/preview/theme/homespace/images/img_4.jpg	(from https://colorlib.com/preview/theme/homespace/)
14:23:40	27163/27163	---M--	200	added ('OK')	image/jpeg	etag:%225c3a642d-6dcd%22	https://colorlib.com/preview/theme/homespace/images/person_1.jpg	C:/Users/Anisha%20Gaywala/Desktop/template/colorlib.com/preview/theme/homespace/images/person_1.jpg	(from https://colorlib.com/preview/theme/homespace/)
14:23:41	61461/61461	---M--	200	added ('OK')	image/jpeg	etag:%225c3a6424-f527%22	https://colorlib.com/preview/theme/homespace/images/img_6.jpg	C:/Users/Anisha%20Gaywala/Desktop/template/colorlib.com/preview/theme/homespace/images/img_6.jpg	(from https://colorlib.com/preview/theme/homespace/)
14:23:42	24805/24805	---M--	200	added ('OK')	image/jpeg	etag:%225c3a6430-62d9%22	https://colorlib.com/preview/theme/homespace/images/person_3.jpg	C:/Users/Anisha%20Gaywala/Desktop/template/colorlib.com/preview/theme/homespace/images/person_3.jpg	(from https://colorlib.com/preview/theme/homespace/)
